img_path,label
data/generated_v1_2.png,1
data/generated_v1_7.png,1
data/generated_v1_12.png,1
data/generated_v1_13.png,1
data/generated_v1_14.png,1
data/generated_v1_23.png,1
data/generated_v1_24.png,1
data/generated_v1_32.png,1
data/generated_v1_61.png,1
data/generated_v1_64.png,1
data/generated_v1_72.png,1
data/generated_v1_84.png,1
data/generated_v1_88.png,1
data/generated_v1_110.png,1
data/generated_v1_112.png,1
data/generated_v1_123.png,1
data/generated_v1_129.png,1
data/generated_v1_130.png,1
data/generated_v1_133.png,1
data/generated_v1_136.png,1
data/generated_v1_144.png,1
data/generated_v1_147.png,1
data/generated_v1_166.png,1
data/generated_v1_172.png,1
data/generated_v1_174.png,1
data/generated_v1_183.png,1
data/generated_v1_188.png,1
data/generated_v1_216.png,1
data/generated_v1_224.png,1
data/generated_v1_230.png,1
data/generated_v1_234.png,1
data/generated_v1_238.png,1
data/generated_v1_267.png,1
data/generated_v1_280.png,1
data/generated_v1_299.png,1
data/generated_v1_300.png,1
data/generated_v1_314.png,1
data/generated_v1_327.png,1
data/generated_v1_330.png,1
data/generated_v1_331.png,1
data/generated_v1_333.png,1
data/generated_v1_355.png,1
data/generated_v1_358.png,1
data/generated_v1_364.png,1
data/generated_v1_365.png,1
data/generated_v1_385.png,1
data/generated_v1_399.png,1
data/generated_v1_407.png,1
data/generated_v1_411.png,1
data/generated_v1_415.png,1
data/generated_v1_416.png,1
data/generated_v1_420.png,1
data/generated_v1_424.png,1
data/generated_v1_437.png,1
data/generated_v1_448.png,1
data/generated_v1_450.png,1
data/generated_v1_480.png,1
data/generated_v1_484.png,1
data/generated_v1_488.png,1
data/generated_v1_497.png,1
data/generated_v1_499.png,1
data/generated_v1_511.png,1
data/generated_v1_524.png,1
data/generated_v1_526.png,1
data/generated_v1_536.png,1
data/generated_v1_545.png,1
data/generated_v1_548.png,1
data/generated_v1_549.png,1
data/generated_v1_551.png,1
data/generated_v1_552.png,1
data/generated_v1_553.png,1
data/generated_v1_558.png,1
data/generated_v1_560.png,1
data/generated_v1_561.png,1
data/generated_v1_570.png,1
data/generated_v1_602.png,1
data/generated_v1_605.png,1
data/generated_v1_607.png,1
data/generated_v1_610.png,1
data/generated_v1_623.png,1
data/generated_v1_628.png,1
data/generated_v1_632.png,1
data/generated_v1_634.png,1
data/generated_v1_645.png,1
data/generated_v1_667.png,1
data/generated_v1_673.png,1
data/generated_v1_694.png,1
data/generated_v1_723.png,1
data/generated_v1_757.png,1
data/generated_v1_761.png,1
data/generated_v1_797.png,1
data/generated_v1_798.png,1
data/generated_v1_812.png,1
data/generated_v1_814.png,1
data/generated_v1_821.png,1
data/generated_v1_836.png,1
